City,Min 1,Max 1,Min 2,Max 2,Min 3,Max 3,Min 4,Max 4,Min 5,Max 5,Min Avg,Max Avg
"Anchorage, USA",10.95,14.79,10.82,14.71,11.23,12.28,10.97,13.38,11.34,12.02,11.06,13.44
"Chennai, India",27.80,31.99,25.44,30.91,25.68,28.96,25.39,26.67,25.71,27.32,26.00,29.17
"Jiangbei, China",26.27,34.24,27.68,36.29,26.41,35.92,24.99,35.38,25.60,35.63,26.19,35.49
"Kathmandu, Nepal",18.52,25.51,19.02,25.18,19.22,24.90,19.06,24.87,19.58,25.77,19.08,25.25
"Kothagudem, India",23.34,30.63,24.23,30.38,24.88,31.88,24.67,30.75,23.53,30.84,24.13,30.90
"Lima, Peru",15.00,18.19,15.25,18.90,15.62,19.23,15.11,18.33,15.22,18.05,15.24,18.54
"Manhasset, USA",20.23,24.79,16.70,24.94,17.42,23.81,17.27,24.20,20.55,24.46,18.43,24.44
"Mexico City, Mexico",14.23,20.27,14.41,18.47,14.21,21.56,14.16,20.68,13.90,21.33,14.18,20.46
"Nanaimo, Canada",11.24,18.72,13.76,20.07,14.00,19.34,13.84,15.60,12.87,17.51,13.14,18.25
"Peterhead, Scotland",11.75,14.25,11.02,13.50,10.33,12.81,11.00,13.05,11.51,13.22,11.12,13.37
"Polevskoy, Russia",7.12,17.95,9.05,24.26,15.14,23.10,9.73,22.10,5.35,17.58,9.28,21.00
"Round Rock, USA",25.73,35.15,25.53,34.83,25.30,34.85,24.77,35.96,25.54,34.16,25.37,34.99
"Seoul, South Korea",18.23,22.36,19.54,21.41,18.70,28.10,19.43,28.63,17.78,28.38,18.74,25.78
"Solihull, England",10.36,17.80,9.45,21.84,10.01,21.59,8.34,21.21,10.38,21.61,9.71,20.81
"Tel Aviv, Israel",26.21,30.38,25.88,29.83,25.49,29.86,25.42,30.33,25.99,30.21,25.80,30.12
